,,,,,
,ID,Title,Mod,Tournament - Stage,Rank Range
,2773052,hololive IDOL PROJECT - BLUE CLAPPER [Cynp-zy's Insane] (Amateurre),DT3, nik's winter cup 2022 Round of  16,1-∞
,151229,Hatsune Miku - Mythologia's End [Myth0108ia] (val0108),FM1, nik's winter cup 2022 Round of  16,1-∞
,2223546,Falcom Sound Team jdk - GENESIS BEYOND THE BEGINNING [Insane] (Mariko Sakuragi),FM2, nik's winter cup 2022 Round of  16,1-∞
,1520526,Asriel - ABYSS [Akogare] (idke),TB1, nik's winter cup 2022 Round of  16,1-∞
,,,,,
,2407999,Kishida Kyoudan & The Akeboshi Rockets - Shinkou wa Hakanaki Ningen no Tame ni [Collab] (Skytuna),NM1, nik's winter cup 2022 Quarterfinals,1-∞
,3448615,HyuN - Fuyu no Hime [Extreme] (funny),NM2, nik's winter cup 2022 Quarterfinals,1-∞
,3266522,DIALOGUE+ - Jinsei Easy? [LV.75 Matha's Extreme] (Amateurre),NM3, nik's winter cup 2022 Quarterfinals,1-∞
,3448347,MYUKKE. - NO ONE YES MAN [PEACE] (captin1),NM4, nik's winter cup 2022 Quarterfinals,1-∞
,3314031,"cosMo@bousouP feat. Hatsune Miku, GUMI - COLORFUL VOICE [Colorful] (cocona)",NM5, nik's winter cup 2022 Quarterfinals,1-∞
,3343948,penoreri - Oniyuri [Thy Had Rumpy Pumpy With Hamathon Rammy's Matriarch Expert] (hammyMyRammy),NM6, nik's winter cup 2022 Quarterfinals,1-∞
,3448616,Eine Kleine - Masquerade [Deception (nwc ver.)] (Dark Mitatsh),HD1, nik's winter cup 2022 Quarterfinals,1-∞
,3033108,HIDEKI NAGANUMA - AIN'T NOTHIN' LIKE A FUNKY BEAT [FUNKY FRESH BEATS] (Rtyzen),HD2, nik's winter cup 2022 Quarterfinals,1-∞
,3339094,REDALiCE - Taboo tears you up 2017 [YokesJT's Another] (Dada),HD3, nik's winter cup 2022 Quarterfinals,1-∞
,3370125,Yuki Setsuna (CV: Kusunoki Tomori) - LIKE IT! LOVE IT! [BURNING LOVE!!] (Pincus),HR1, nik's winter cup 2022 Quarterfinals,1-∞
,3338830,"Denzel Curry, Gizzle, Bren Joy - Dynasties & Dystopia [Cubby x Arkisol] (Cubby)",HR2, nik's winter cup 2022 Quarterfinals,1-∞
,3093372,LUNARiUM - Ying Se Yue Hua(MUG Edit.) [PandaHero's Extra] (09kami),HR3, nik's winter cup 2022 Quarterfinals,1-∞
,3448762,Serizawa Yu with DJ KOO & MOTSU - YOU YOU YOU [Collab Insane] (niii_san),DT1, nik's winter cup 2022 Quarterfinals,1-∞
,2719431,Ayase Rie - Hijitsuzaikei Joshitachi wa Dou Surya Ii Desu ka? [Insane] (Lasse),DT2, nik's winter cup 2022 Quarterfinals,1-∞
,98163,Infinite Stratos Cast - SUPER STREAM ~INFINIT FUTURE Revised MIX~ [DisPlaY] (JauiPlaY),DT3, nik's winter cup 2022 Quarterfinals,1-∞
,2643263,Shawn Wasabi - LEMONS feat. kennedi [lemonade] (defiance),DT4, nik's winter cup 2022 Quarterfinals,1-∞
,1029677,Getty vs. DJ DiA - Fox4-Raize- [Extreme] (Kaifin),FM1, nik's winter cup 2022 Quarterfinals,1-∞
,2067859,Kalafina x The Prodigy - No Good Magia (Start the Witch) [Walpurgisnacht] (Okoratu),FM2, nik's winter cup 2022 Quarterfinals,1-∞
,3298593,kors k - SigSig [Yokes' Hidden Expert] (AJT),FM3, nik's winter cup 2022 Quarterfinals,1-∞
,3168656,Yooh - MariannE [Labyrinth] (Camo),TB1, nik's winter cup 2022 Quarterfinals,1-∞
,,,,,
,3351795,Risa Yuzuki - Cinderella Maker [Extreme] (BarkingMadDog),NM1, nik's winter cup 2022 Semifinals,1-∞
,3206068,ponkichi - dreamend survivor [MAXIMUM] (Kurashina Asuka),NM2, nik's winter cup 2022 Semifinals,1-∞
,3207056,otetsu - Meiteki Cybernetics [Raijodo x kuyusu's Extra (MYT Edit)] (mezelyus),NM3, nik's winter cup 2022 Semifinals,1-∞
,3394172,Street - Zeus [Expert] (Cubby),NM4, nik's winter cup 2022 Semifinals,1-∞
,3459995,sasakure.UK - LIN NE KRO NE feat. lasah [Difficult] (ConsumerOfBean),NM5, nik's winter cup 2022 Semifinals,1-∞
,2184669,Junk - elegante [Extreme] (ktgster),NM6, nik's winter cup 2022 Semifinals,1-∞
,3459467,Abe Mao - Ikisou na Hero to Nuka ni Kugi Otoko [ng] (Nightlys),HD1, nik's winter cup 2022 Semifinals,1-∞
,3360132,lapix - Foolish Hero (FutureCore Mix) [Irrationality] (Bakugo-),HD2, nik's winter cup 2022 Semifinals,1-∞
,3297661,deleted beatmap,HD3, nik's winter cup 2022 Semifinals,1-∞
,3459651,Fuki - Kuruizake Setsugetsuka [Sweet Love] (knowledgeking),HR1, nik's winter cup 2022 Semifinals,1-∞
,1947706,Mili - Ga1ahad and Scientific Witchery [617] (Icekalt),HR2, nik's winter cup 2022 Semifinals,1-∞
,3459819,Feryquitous - Estahv [Ethereal (nwc ver.)] (jazzberry),HR3, nik's winter cup 2022 Semifinals,1-∞
,971528,Muzzy - Children of Hell [Purgatory] (Secretpipe),DT1, nik's winter cup 2022 Semifinals,1-∞
,2699262,Daisuke Ishiwatari - Childish Killer [Like a Rose] (yaspo),DT2, nik's winter cup 2022 Semifinals,1-∞
